,Nom,Infos,Prix,Date
119,Gigabyte GeForce RTX 4070 Ti SUPER GAMING OC 16G,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER),999€95,2024-10-20
120,Gigabyte GeForce RTX 4070 Ti SUPER WINDFORCE OC 16G,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER),979€95,2024-10-20
121,Gigabyte GeForce RTX 4080 SUPER AERO OC 16G,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4080 SUPER),1 249€95,2024-10-20
122,Gigabyte GeForce RTX 4080 SUPER GAMING OC 16G,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4080 SUPER),1 229€95,2024-10-20
123,Gigabyte GeForce RTX 4080 SUPER WINDFORCE OC V2 16G,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4080 SUPER),1 199€00,2024-10-20
124,Gigabyte GeForce RTX 4090 WINDFORCE 24G,24 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4090),1 999€95,2024-10-20
125,Gigabyte GeForce RTX 4090 XTREME WATERFORCE 24G,24 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4090),2 499€95,2024-10-20
126,Gigabyte AORUS GeForce RTX 4080 SUPER MASTER 16G,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4080 SUPER),1 399€95,2024-10-20
127,Gigabyte AORUS Radeon RX 6400 EAGLE 4G,4 Go GDDR6 - HDMI/DisplayPort - PCI Express (AMD Radeon RX 6400),189€95,2024-10-20
128,Gigabyte GeForce RTX 4060 EAGLE OC ICE 8G,8 Go GDDR6 - Dual HDMI/Dual DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060),369€95,2024-10-20
129,Gigabyte GeForce RTX 4060 Ti WINDFORCE OC 8G,8 Go GDDR6 - Dual HDMI/Dual DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060 Ti),429€95,2024-10-20
130,Gigabyte GeForce RTX 4070 SUPER AERO OC 12G,12 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 SUPER),779€95,2024-10-20
131,Gigabyte GeForce RTX 4070 SUPER EAGLE OC 12G,12 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 SUPER),749€95,2024-10-20
132,Gigabyte GeForce RTX 4070 SUPER EAGLE OC ICE 12G,12 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 SUPER),739€95,2024-10-20
133,Gigabyte GeForce RTX 4070 Ti SUPER AERO OC 16G,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER),1 059€95,2024-10-20
134,Gigabyte GeForce RTX 4090 GAMING OC 24G,24 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4090),2 079€95,2024-10-20
135,Intel Arc A770 Graphics,16 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (Intel Arc A770),459€95,2024-10-20
136,KFA2 GeForce RTX 3050 6GB EX,6 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (NVIDIA GeForce RTX 3050),199€95,2024-10-20
137,KFA2 GeForce RTX 4060 2X V2 (1-Click OC),8 Go GDDR6 - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060),314€95,2024-10-20
138,KFA2 GeForce RTX 4060 Ti 8GB OC (1-Click OC),8 Go GDDR6 - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060 Ti),419€95,2024-10-20
